06:36:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=logs_animal_1/run3, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
06:36:37 [ultranest] [INFO] Sampling 400 live points from prior ...
06:37:19 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
06:37:19 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=3, min_num_live_points=400, cluster_num_live_points=40
06:37:19 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
06:37:30 [ultranest] [DEBUG] iteration=0, ncalls=528, regioncalls=128, ndraw=128, logz=-inf, remainder_fraction=100.0000%, Lmin=-1495226.22, Lmax=-10000.00
06:37:30 [ultranest] [DEBUG] iteration=40, ncalls=528, regioncalls=128, ndraw=128, logz=-253189.36, remainder_fraction=100.0000%, Lmin=-252075.79, Lmax=-10000.00
06:37:30 [ultranest] [DEBUG] iteration=80, ncalls=528, regioncalls=128, ndraw=128, logz=-200373.83, remainder_fraction=100.0000%, Lmin=-200099.13, Lmax=-10000.00
06:37:30 [ultranest] [DEBUG] iteration=90, ncalls=528, regioncalls=128, ndraw=128, logz=-194949.94, remainder_fraction=100.0000%, Lmin=-194905.94, Lmax=-10000.00
06:37:38 [ultranest] [DEBUG] iteration=110, ncalls=652, regioncalls=256, ndraw=128, logz=-184113.68, remainder_fraction=100.0000%, Lmin=-183635.47, Lmax=-10000.00
06:37:38 [ultranest] [DEBUG] iteration=120, ncalls=652, regioncalls=256, ndraw=128, logz=-180870.05, remainder_fraction=100.0000%, Lmin=-180316.87, Lmax=-10000.00
06:37:38 [ultranest] [DEBUG] iteration=160, ncalls=652, regioncalls=256, ndraw=128, logz=-171274.12, remainder_fraction=100.0000%, Lmin=-171229.53, Lmax=-10000.00
06:37:43 [ultranest] [DEBUG] iteration=191, ncalls=762, regioncalls=384, ndraw=128, logz=-168641.92, remainder_fraction=100.0000%, Lmin=-168454.35, Lmax=-10000.00
06:37:43 [ultranest] [DEBUG] iteration=200, ncalls=762, regioncalls=384, ndraw=128, logz=-168197.36, remainder_fraction=100.0000%, Lmin=-168170.44, Lmax=-10000.00
06:37:43 [ultranest] [DEBUG] iteration=240, ncalls=762, regioncalls=384, ndraw=128, logz=-166699.65, remainder_fraction=100.0000%, Lmin=-166660.90, Lmax=-10000.00
06:37:48 [ultranest] [DEBUG] iteration=261, ncalls=880, regioncalls=512, ndraw=128, logz=-165883.47, remainder_fraction=100.0000%, Lmin=-165862.18, Lmax=-10000.00
06:37:48 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2, 3]), array([396,   1,   3]))
06:37:48 [ultranest] [DEBUG] iteration=280, ncalls=880, regioncalls=512, ndraw=128, logz=-165349.14, remainder_fraction=100.0000%, Lmin=-165326.70, Lmax=-10000.00
06:37:54 [ultranest] [DEBUG] iteration=318, ncalls=998, regioncalls=640, ndraw=128, logz=-164526.59, remainder_fraction=100.0000%, Lmin=-164515.16, Lmax=-10000.00
06:37:54 [ultranest] [DEBUG] iteration=320, ncalls=998, regioncalls=640, ndraw=128, logz=-164508.91, remainder_fraction=100.0000%, Lmin=-164477.89, Lmax=-10000.00
06:37:54 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2, 3]), array([395,   1,   4]))
06:37:54 [ultranest] [DEBUG] iteration=360, ncalls=998, regioncalls=640, ndraw=128, logz=-163748.05, remainder_fraction=100.0000%, Lmin=-163657.92, Lmax=-10000.00
06:38:01 [ultranest] [DEBUG] iteration=376, ncalls=1108, regioncalls=768, ndraw=128, logz=-163485.57, remainder_fraction=100.0000%, Lmin=-163467.34, Lmax=-10000.00
06:38:01 [ultranest] [DEBUG] iteration=400, ncalls=1108, regioncalls=768, ndraw=128, logz=-163115.62, remainder_fraction=100.0000%, Lmin=-163091.32, Lmax=-10000.00
06:38:05 [ultranest] [DEBUG] iteration=425, ncalls=1212, regioncalls=896, ndraw=128, logz=-162674.26, remainder_fraction=100.0000%, Lmin=-162661.91, Lmax=-10000.00
06:38:05 [ultranest] [DEBUG] iteration=440, ncalls=1212, regioncalls=896, ndraw=128, logz=-162326.99, remainder_fraction=100.0000%, Lmin=-162310.26, Lmax=-10000.00
06:38:05 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2, 3]), array([395,   1,   4]))
06:38:10 [ultranest] [DEBUG] iteration=473, ncalls=1304, regioncalls=1024, ndraw=128, logz=-161802.79, remainder_fraction=100.0000%, Lmin=-161794.65, Lmax=-10000.00
06:38:10 [ultranest] [DEBUG] iteration=480, ncalls=1304, regioncalls=1024, ndraw=128, logz=-161716.54, remainder_fraction=100.0000%, Lmin=-161704.45, Lmax=-10000.00
06:38:13 [ultranest] [DEBUG] iteration=505, ncalls=1400, regioncalls=1152, ndraw=128, logz=-161181.02, remainder_fraction=100.0000%, Lmin=-161156.97, Lmax=-10000.00
06:38:13 [ultranest] [DEBUG] iteration=520, ncalls=1400, regioncalls=1152, ndraw=128, logz=-160871.59, remainder_fraction=100.0000%, Lmin=-160860.92, Lmax=-10000.00
06:38:17 [ultranest] [DEBUG] iteration=536, ncalls=1487, regioncalls=1280, ndraw=128, logz=-160509.85, remainder_fraction=100.0000%, Lmin=-160490.32, Lmax=-10000.00
06:38:17 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2, 3]), array([395,   1,   4]))
06:38:17 [ultranest] [DEBUG] iteration=560, ncalls=1487, regioncalls=1280, ndraw=128, logz=-160006.08, remainder_fraction=100.0000%, Lmin=-159997.97, Lmax=-10000.00
06:38:18 [ultranest] [DEBUG] iteration=567, ncalls=1557, regioncalls=1408, ndraw=128, logz=-159854.29, remainder_fraction=100.0000%, Lmin=-159762.12, Lmax=-10000.00
06:38:22 [ultranest] [DEBUG] iteration=593, ncalls=1632, regioncalls=1536, ndraw=128, logz=-159159.71, remainder_fraction=100.0000%, Lmin=-159140.72, Lmax=-10000.00
06:38:22 [ultranest] [DEBUG] iteration=600, ncalls=1632, regioncalls=1536, ndraw=128, logz=-159020.58, remainder_fraction=100.0000%, Lmin=-159004.03, Lmax=-10000.00
06:38:24 [ultranest] [DEBUG] iteration=620, ncalls=1711, regioncalls=1664, ndraw=128, logz=-158607.78, remainder_fraction=100.0000%, Lmin=-158599.00, Lmax=-10000.00
06:38:24 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2, 3]), array([395,   1,   4]))
06:38:24 [ultranest] [DEBUG] iteration=640, ncalls=1711, regioncalls=1664, ndraw=128, logz=-158299.61, remainder_fraction=100.0000%, Lmin=-158260.09, Lmax=-10000.00
06:38:26 [ultranest] [DEBUG] iteration=648, ncalls=1785, regioncalls=1792, ndraw=128, logz=-158174.77, remainder_fraction=100.0000%, Lmin=-158137.42, Lmax=-10000.00
06:38:26 [ultranest] [DEBUG] iteration=680, ncalls=1785, regioncalls=1792, ndraw=128, logz=-157368.24, remainder_fraction=100.0000%, Lmin=-157354.12, Lmax=-10000.00
06:38:28 [ultranest] [DEBUG] iteration=682, ncalls=1847, regioncalls=1920, ndraw=128, logz=-157347.31, remainder_fraction=100.0000%, Lmin=-157331.67, Lmax=-10000.00
06:38:30 [ultranest] [DEBUG] iteration=702, ncalls=1919, regioncalls=2048, ndraw=128, logz=-157101.22, remainder_fraction=100.0000%, Lmin=-157068.77, Lmax=-10000.00
06:38:30 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2, 3]), array([395,   1,   4]))
06:38:30 [ultranest] [DEBUG] iteration=720, ncalls=1919, regioncalls=2048, ndraw=128, logz=-156770.26, remainder_fraction=100.0000%, Lmin=-156753.88, Lmax=-10000.00
06:38:31 [ultranest] [DEBUG] iteration=728, ncalls=1986, regioncalls=2176, ndraw=128, logz=-156659.93, remainder_fraction=100.0000%, Lmin=-156634.73, Lmax=-10000.00
06:38:33 [ultranest] [DEBUG] iteration=753, ncalls=2051, regioncalls=2304, ndraw=128, logz=-156343.66, remainder_fraction=100.0000%, Lmin=-156317.16, Lmax=-10000.00
06:38:33 [ultranest] [DEBUG] iteration=760, ncalls=2051, regioncalls=2304, ndraw=128, logz=-156283.39, remainder_fraction=100.0000%, Lmin=-156266.19, Lmax=-10000.00
06:38:34 [ultranest] [DEBUG] iteration=770, ncalls=2114, regioncalls=2432, ndraw=128, logz=-156171.15, remainder_fraction=100.0000%, Lmin=-156157.00, Lmax=-10000.00
