06:36:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=logs_animal_1/run1, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
06:36:36 [ultranest] [INFO] Sampling 400 live points from prior ...
06:37:17 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
06:37:17 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=3, min_num_live_points=400, cluster_num_live_points=40
06:37:17 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
06:37:26 [ultranest] [DEBUG] iteration=0, ncalls=528, regioncalls=128, ndraw=128, logz=-inf, remainder_fraction=100.0000%, Lmin=-1428798.48, Lmax=-10000.00
06:37:26 [ultranest] [DEBUG] iteration=40, ncalls=528, regioncalls=128, ndraw=128, logz=-248739.73, remainder_fraction=100.0000%, Lmin=-248501.92, Lmax=-10000.00
06:37:26 [ultranest] [DEBUG] iteration=80, ncalls=528, regioncalls=128, ndraw=128, logz=-204549.09, remainder_fraction=100.0000%, Lmin=-202899.10, Lmax=-10000.00
06:37:26 [ultranest] [DEBUG] iteration=90, ncalls=528, regioncalls=128, ndraw=128, logz=-195188.55, remainder_fraction=100.0000%, Lmin=-195135.56, Lmax=-10000.00
06:37:36 [ultranest] [DEBUG] iteration=116, ncalls=648, regioncalls=256, ndraw=128, logz=-183414.77, remainder_fraction=100.0000%, Lmin=-182306.75, Lmax=-10000.00
06:37:36 [ultranest] [DEBUG] iteration=120, ncalls=648, regioncalls=256, ndraw=128, logz=-180908.75, remainder_fraction=100.0000%, Lmin=-180869.16, Lmax=-10000.00
06:37:36 [ultranest] [DEBUG] iteration=160, ncalls=648, regioncalls=256, ndraw=128, logz=-171716.96, remainder_fraction=100.0000%, Lmin=-171572.83, Lmax=-10000.00
06:37:36 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
06:37:41 [ultranest] [DEBUG] iteration=192, ncalls=762, regioncalls=384, ndraw=128, logz=-169275.46, remainder_fraction=100.0000%, Lmin=-169264.67, Lmax=-10000.00
06:37:41 [ultranest] [DEBUG] iteration=200, ncalls=762, regioncalls=384, ndraw=128, logz=-169039.65, remainder_fraction=100.0000%, Lmin=-169025.37, Lmax=-10000.00
06:37:41 [ultranest] [DEBUG] iteration=240, ncalls=762, regioncalls=384, ndraw=128, logz=-166852.56, remainder_fraction=100.0000%, Lmin=-166786.51, Lmax=-10000.00
